casp_ed,target_id,target_id_orig,length
9,T0515,T0515,365
9,T0516,T0516,229
9,T0517,T0517,159
9,T0518,T0518,288
9,T0519,T0519,180
9,T0520,T0520,189
9,T0521,T0521,179
9,T0522,T0522,134
9,T0523,T0523,120
9,T0524,T0524,325
9,T0525,T0525,215
9,T0526,T0526,290
9,T0527,T0527,142
9,T0528,T0528,388
9,T0529,T0529,569
9,T0530,T0530,115
9,T0531,T0531,65
9,T0532,T0532,506
9,T0533,T0533,313
9,T0534,T0534,384
9,T0535,T0535,294
9,T0536,T0536,152
9,T0537,T0537,381
9,T0538,T0538,54
9,T0539,T0539,81
9,T0540,T0540,90
9,T0541,T0541,106
9,T0542,T0542,590
9,T0543,T0543,887
9,T0544,T0544,135
9,T0545,T0545,158
9,T0546,T0546,134
9,T0547,T0547,611
9,T0548,T0548,106
9,T0549,T0549,84
9,T0550,T0550,339
9,T0551,T0551,74
9,T0552,T0552,122
9,T0553,T0553,141
9,T0554,T0554,135
9,T0555,T0555,148
9,T0556,T0556,73
9,T0557,T0557,145
9,T0558,T0558,294
9,T0559,T0559,69
9,T0560,T0560,74
9,T0561,T0561,161
9,T0562,T0562,123
9,T0563,T0563,279
9,T0564,T0564,89
9,T0565,T0565,326
9,T0566,T0566,156
9,T0567,T0567,145
9,T0568,T0568,158
9,T0569,T0569,79
9,T0570,T0570,258
9,T0571,T0571,344
9,T0572,T0572,93
9,T0573,T0573,311
9,T0574,T0574,126
9,T0575,T0575,216
9,T0576,T0576,172
9,T0577,T0577,116
9,T0578,T0578,164
9,T0579,T0579,124
9,T0580,T0580,105
9,T0581,T0581,136
9,T0582,T0582,222
9,T0583,T0583,152
9,T0584,T0584,352
9,T0585,T0585,234
9,T0586,T0586,125
9,T0587,T0587,373
9,T0588,T0588,400
9,T0589,T0589,465
9,T0590,T0590,137
9,T0591,T0591,406
9,T0592,T0592,144
9,T0593,T0593,208
9,T0594,T0594,140
9,T0595,T0595,123
9,T0596,T0596,213
9,T0597,T0597,429
9,T0598,T0598,161
9,T0599,T0599,399
9,T0600,T0600,125
9,T0601,T0601,449
9,T0602,T0602,123
9,T0603,T0603,305
9,T0604,T0604,549
9,T0605,T0605,72
9,T0606,T0606,169
9,T0607,T0607,471
9,T0608,T0608,279
9,T0609,T0609,340
9,T0610,T0610,186
9,T0611,T0611,227
9,T0612,T0612,129
9,T0613,T0613,287
9,T0614,T0614,135
9,T0615,T0615,179
9,T0616,T0616,103
9,T0617,T0617,148
9,T0618,T0618,182
9,T0619,T0619,111
9,T0620,T0620,312
9,T0621,T0621,172
9,T0622,T0622,138
9,T0623,T0623,220
9,T0624,T0624,81
9,T0625,T0625,233
9,T0626,T0626,283
9,T0627,T0627,261
9,T0628,T0628,295
9,T0629,T0629,216
9,T0630,T0630,132
9,T0631,T0631,303
9,T0632,T0632,168
9,T0633,T0633,462
9,T0634,T0634,140
9,T0635,T0635,191
9,T0636,T0636,336
9,T0637,T0637,146
9,T0638,T0638,269
9,T0639,T0639,128
9,T0640,T0640,250
9,T0641,T0641,296
9,T0642,T0642,387
9,T0643,T0643,83
10,T0644,T0644,166
10,T0645,T0645,537
10,T0646,T0646,93
10,T0647,T0647,157
10,T0648,T0648,102
10,T0649,T0649,210
10,T0650,T0650,346
10,T0651,T0651,254
10,T0652,T0652,292
10,T0653,T0653,414
10,T0654,T0654,166
10,T0655,T0655,182
10,T0656,T0656,146
10,T0657,T0657,154
10,T0658,T0658,541
10,T0659,T0659,85
10,T0660,T0660,108
10,T0661,T0661,215
10,T0662,T0662,79
10,T0663,T0663,205
10,T0664,T0664,540
10,T0665,T0665,67
10,T0666,T0666,195
10,T0667,T0667,194
10,T0668,T0668,86
10,T0669,T0669,109
10,T0670,T0670,151
10,T0671,T0671,428
10,T0672,T0672,335
10,T0673,T0673,88
10,T0674,T0674,340
10,T0675,T0675,75
10,T0676,T0676,204
10,T0677,T0677,153
10,T0678,T0678,161
10,T0679,T0679,223
10,T0680,T0680,119
10,T0681,T0681,224
10,T0682,T0682,235
10,T0683,T0683,403
10,T0684,T0684,270
10,T0685,T0685,253
10,T0686,T0686,259
10,T0687,T0687,216
10,T0688,T0688,196
10,T0689,T0689,234
10,T0690,T0690,393
10,T0691,T0691,163
10,T0692,T0692,473
10,T0693,T0693,319
10,T0694,T0694,315
10,T0695,T0695,536
10,T0696,T0696,111
10,T0697,T0697,483
10,T0698,T0698,119
10,T0699,T0699,234
10,T0700,T0700,86
10,T0701,T0701,322
10,T0702,T0702,271
10,T0703,T0703,272
10,T0704,T0704,254
10,T0705,T0705,474
10,T0706,T0706,217
10,T0707,T0707,366
10,T0708,T0708,196
10,T0709,T0709,33
10,T0710,T0710,220
10,T0711,T0711,33
10,T0712,T0712,223
10,T0713,T0713,739
10,T0714,T0714,88
10,T0715,T0715,462
10,T0716,T0716,71
10,T0717,T0717,345
10,T0718,T0718,100
10,T0719,T0719,726
10,T0720,T0720,202
10,T0721,T0721,301
10,T0722,T0722,152
10,T0723,T0723,132
10,T0724,T0724,265
10,T0725,T0725,370
10,T0726,T0726,597
10,T0727,T0727,93
10,T0728,T0728,154
10,T0729,T0729,96
10,T0730,T0730,167
10,T0731,T0731,79
10,T0732,T0732,354
10,T0733,T0733,390
10,T0734,T0734,216
10,T0735,T0735,349
10,T0736,T0736,168
10,T0737,T0737,292
10,T0738,T0738,249
10,T0739,T0739,770
10,T0740,T0740,165
10,T0741,T0741,181
10,T0742,T0742,312
10,T0743,T0743,149
10,T0744,T0744,329
10,T0745,T0745,185
10,T0746,T0746,367
10,T0747,T0747,121
10,T0748,T0748,59
10,T0749,T0749,449
10,T0750,T0750,188
10,T0751,T0751,111
10,T0752,T0752,156
10,T0753,T0753,109
10,T0754,T0754,80
10,T0755,T0755,264
10,T0756,T0756,179
10,T0757,T0757,247
10,T0758,T0758,388
11,T0817,T0817,525
11,T0828,T0828,325
11,T0774,T0774,379
11,T0780,T0780,259
11,T0783,T0783,411
11,T0759,T0759,109
11,T0760,T0760,242
11,T0761,T0761,285
11,T0762,T0762,280
11,T0763,T0763,163
11,T0764,T0764,341
11,T0765,T0765,128
11,T0766,T0766,130
11,T0767,T0767,318
11,T0768,T0768,170
11,T0769,T0769,112
11,T0770,T0770,488
11,T0771,T0771,204
11,T0772,T0772,265
11,T0773,T0773,77
11,T0774,T0774,379
11,T0775,T0775,390
11,T0776,T0776,256
11,T0777,T0777,366
11,T0778,T0778,127
11,T0779,T0779,68
11,T0780,T0780,259
11,T0781,T0781,420
11,T0782,T0782,135
11,T0783,T0783,411
11,T0784,T0784,155
11,T0785,T0785,115
11,T0786,T0786,264
11,T0787,T0787,153
11,T0788,T0788,481
11,T0789,T0789,295
11,T0790,T0790,293
11,T0791,T0791,300
11,T0792,T0792,80
11,T0793,T0793,595
11,T0794,T0794,470
11,T0795,T0795,141
11,T0796,T0796,309
11,T0797,T0797,44
11,T0798,T0798,198
11,T0799,T0799,408
11,T0800,T0800,247
11,T0801,T0801,376
11,T0802,T0802,122
11,T0803,T0803,139
11,T0804,T0804,202
11,T0805,T0805,214
11,T0806,T0806,258
11,T0807,T0807,284
11,T0808,T0808,418
11,T0809,T0809,62
11,T0810,T0810,383
11,T0811,T0811,255
11,T0812,T0812,204
11,T0813,T0813,307
11,T0814,T0814,424
11,T0815,T0815,106
11,T0816,T0816,68
11,T0817,T0817,525
11,T0818,T0818,166
11,T0819,T0819,373
11,T0820,T0820,140
11,T0821,T0821,275
11,T0822,T0822,121
11,T0823,T0823,296
11,T0824,T0824,110
11,T0825,T0825,205
11,T0826,T0826,544
11,T0827,T0827,407
11,T0828,T0828,325
11,T0829,T0829,70
11,T0830,T0830,575
11,T0831,T0831,419
11,T0832,T0832,257
11,T0833,T0833,136
11,T0834,T0834,219
11,T0835,T0835,424
11,T0836,T0836,204
11,T0837,T0837,128
11,T0838,T0838,154
11,T0839,T0839,262
11,T0840,T0840,669
11,T0841,T0841,253
11,T0842,T0842,146
11,T0843,T0843,369
11,T0844,T0844,145
11,T0845,T0845,448
11,T0846,T0846,146
11,T0847,T0847,176
11,T0848,T0848,354
11,T0849,T0849,240
11,T0850,T0850,190
11,T0851,T0851,456
11,T0852,T0852,414
11,T0853,T0853,152
11,T0854,T0854,212
11,T0855,T0855,119
11,T0856,T0856,159
11,T0857,T0857,105
11,T0858,T0858,494
12,T0859,T0859,133
12,T0860,T0860,137
12,T0861,T0861,323
12,T0862,T0862,239
12,T0863,T0863,670
12,T0864,T0864,246
12,T0865,T0865,75
12,T0866,T0866,183
12,T0867,T0867,104
12,T0868,T0868,161
12,T0869,T0869,120
12,T0870,T0870,138
12,T0871,T0871,375
12,T0872,T0872,91
12,T0873,T0873,501
12,T0874,T0874,129
12,T0875,T0875,122
12,T0876,T0876,136
12,T0877,T0877,142
12,T0878,T0878,358
12,T0879,T0879,223
12,T0880,T0880,193
12,T0881,T0881,202
12,T0882,T0882,89
12,T0883,T0883,237
12,T0884,T0884,75
12,T0885,T0885,116
12,T0886,T0886,346
12,T0887,T0887,178
12,T0888,T0888,121
12,T0889,T0889,242
12,T0890,T0890,191
12,T0891,T0891,130
12,T0892,T0892,193
12,T0893,T0893,242
12,T0894,T0894,324
12,T0895,T0895,129
12,T0896,T0896,486
12,T0897,T0897,285
12,T0898,T0898,169
12,T0899,T0899,423
12,T0900,T0900,106
12,T0901,T0901,328
12,T0902,T0902,315
12,T0903,T0903,382
12,T0904,T0904,341
12,T0905,T0905,353
12,T0906,T0906,363
12,T0907,T0907,315
12,T0908,T0908,137
12,T0909,T0909,340
12,T0910,T0910,345
12,T0911,T0911,445
12,T0912,T0912,624
12,T0913,T0913,386
12,T0914,T0914,337
12,T0915,T0915,161
12,T0916,T0916,166
12,T0917,T0917,409
12,T0918,T0918,546
12,T0919,T0919,306
12,T0920,T0920,568
12,T0921,T0921,149
12,T0922,T0922,96
12,T0923,T0923,409
12,T0924,T0924,89
12,T0925,T0925,87
12,T0926,T0926,88
12,T0927,T0927,91
12,T0928,T0928,388
12,T0929,T0929,133
12,T0930,T0930,670
12,T0931,T0931,178
12,T0932,T0932,246
12,T0933,T0933,346
12,T0934,T0934,486
12,T0935,T0935,177
12,T0936,T0936,205
12,T0937,T0937,369
12,T0938,T0938,259
12,T0939,T0939,212
12,T0940,T0940,271
12,T0941,T0941,470
12,T0942,T0942,487
12,T0943,T0943,563
12,T0944,T0944,277
12,T0945,T0945,409
12,T0946,T0946,292
12,T0947,T0947,220
12,T0948,T0948,166
13,T0953s1,H0953,72
13,T0953s2,H0953,249
13,T0957s1,H0957,163
13,T0957s2,H0957,164
13,T0968s1,H0968,126
13,T0968s2,H0968,116
13,T0974s1,H0974,72
13,T0974s2,H0974,95
13,T0980s1,H0980,111
13,T0980s2,H0980,52
13,T0986s1,H0986,96
13,T0986s2,H0986,155
13,T0993s1,H0993,269
13,T0993s2,H0993,109
13,T1015s1,H1015,89
13,T1015s2,H1015,129
13,T1017s1,H1017,111
13,T1017s2,H1017,129
13,T1019s1,H1019,58
13,T1019s2,H1019,88
13,T1021s1,H1021,149
13,T1021s2,H1021,354
13,T1021s3,H1021,295
13,T1022s1,H1022,229
13,T1022s2,H1022,529
13,T1023s1,H1023,315
13,T1023s2,H1023,333
13,T1023s3,H1023,472
13,T0949,T0949,183
13,T0950,T0950,353
13,T0951,T0951,276
13,T0952,T0952,35
13,T0954,T0954,350
13,T0955,T0955,41
13,T0956,T0956,178
13,T0958,T0958,96
13,T0959,T0959,189
13,T0960,T0960,384
13,T0961,T0961,505
13,T0962,T0962,220
13,T0963,T0963,372
13,T0964,T0964,184
13,T0965,T0965,334
13,T0966,T0966,494
13,T0967,T0967,81
13,T0969,T0969,487
13,T0970,T0970,97
13,T0971,T0971,186
13,T0972,T0972,106
13,T0973,T0973,146
13,T0975,T0975,343
13,T0976,T0976,252
13,T0977,T0977,566
13,T0978,T0978,416
13,T0979,T0979,98
13,T0981,T0981,640
13,T0982,T0982,283
13,T0983,T0983,245
13,T0984,T0984,752
13,T0985,T0985,863
13,T0987,T0987,405
13,T0988,T0988,204
13,T0989,T0989,246
13,T0990,T0990,552
13,T0991,T0991,118
13,T0992,T0992,126
13,T0994,T0994,585
13,T0995,T0995,330
13,T0996,T0996,848
13,T0997,T0997,228
13,T0998,T0998,166
13,T0999,T0999,1589
13,T1000,T1000,523
13,T1001,T1001,140
13,T1002,T1002,270
13,T1003,T1003,474
13,T1004,T1004,458
13,T1005,T1005,364
13,T1006,T1006,79
13,T1007,T1007,149
13,T1008,T1008,80
13,T1009,T1009,718
13,T1010,T1010,210
13,T1011,T1011,534
13,T1012,T1012,199
13,T1013,T1013,537
13,T1014,T1014,276
13,T1016,T1016,203
13,T1018,T1018,334
13,T1020,T1020,577
